,Unnamed: 0,year,rank,song,artist
2640,2640,1986,42,Sisters Are Doin' It For Themselves,Eurythmics & Aretha Franklin
2641,2641,1986,43,The Sun Always Shines on T.V.,a-ha
2642,2642,1986,44,Living In America,James Brown
2643,2643,1986,45,"Tarzan Boy (From ""Teenage Mutant Ninja Turtles III"")",Baltimora
2644,2644,1986,46,Life In A Northern Town,The Dream Academy
2645,2645,1986,47,You Belong To The City,Glenn Frey
2646,2646,1986,48,The Big Money,Rush
2647,2647,1986,49,Do It For Love,Sheena Easton
2648,2648,1986,50,Kyrie,Mr. Mister
2649,2649,1986,51,To Live And Die In L.A.,Wang Chung
2650,2650,1986,52,Silent Running (On Dangerous Ground),Mike + The Mechanics
2651,2651,1986,53,Go,Asia
2652,2652,1986,54,Digital Display,Ready For The World
2653,2653,1986,55,Count Me Out,New Edition
2654,2654,1986,56,Leader Of The Pack,Twisted Sister
2655,2655,1986,57,Everything Must Change,Paul Young
2656,2656,1986,58,Part-Time Lover,Stevie Wonder
2657,2657,1986,59,Too Young,Jack Wagner
2658,2658,1986,60,You Are My Lady,Freddie Jackson
2659,2659,1986,61,Miami Vice Theme,Jan Hammer
