,Unnamed: 0,year,rank,song,artist
1900,1900,1979,2,Le Freak,Chic
1901,1901,1979,3,My Life,Billy Joel
1902,1902,1979,4,You Don't Bring Me Flowers,Barbra Streisand & Neil Diamond
1903,1903,1979,5,I Love The Nightlife (Disco 'round),Alicia Bridges
1904,1904,1979,6,Sharing The Night Together,Dr. Hook
1905,1905,1979,7,Y.M.C.A.,Village People
1906,1906,1979,8,Hold The Line,Toto
1907,1907,1979,9,(Our Love) Don't Throw It All Away,Andy Gibb
1908,1908,1979,10,Ooh Baby Baby,Linda Ronstadt
1909,1909,1979,11,Promises,Eric Clapton And His Band
1910,1910,1979,12,How You Gonna See Me Now,Alice Cooper
1911,1911,1979,13,A Little More Love,Olivia Newton-John
1912,1912,1979,14,We've Got Tonight,Bob Seger & The Silver Bullet Band
1913,1913,1979,15,September,"Earth, Wind & Fire"
1914,1914,1979,16,Every 1's A Winner,Hot Chocolate
1915,1915,1979,17,Lotta Love,Nicolette Larson
1916,1916,1979,18,Please Come Home For Christmas,Eagles
1917,1917,1979,19,New York Groove,Ace Frehley
1918,1918,1979,20,Fire,The Pointer Sisters
1919,1919,1979,21,I'm Every Woman,Chaka Khan
1920,1920,1979,22,Shake It,Ian Matthews
1921,1921,1979,23,I Just Wanna Stop,Gino Vannelli
1922,1922,1979,24,I Was Made For Dancin',Leif Garrett
1923,1923,1979,25,Bicycle Race/Fat Bottomed Girls,Queen
1924,1924,1979,26,Time Passages,Al Stewart
1925,1925,1979,27,Da Ya Think I'm Sexy?,Rod Stewart
1926,1926,1979,28,Don't Hold Back,Chanson
1927,1927,1979,29,Instant Replay,Dan Hartman
1928,1928,1979,30,I Will Be In Love With You,Livingston Taylor
1929,1929,1979,31,Somewhere In The Night,Barry Manilow
1930,1930,1979,32,Soul Man,Blues Brothers
1931,1931,1979,33,A Man I'll Never Be,Boston
1932,1932,1979,34,The Gambler,Kenny Rogers
1933,1933,1979,35,My Best Friend's Girl,The Cars
1934,1934,1979,36,Take Me To The River,Talking Heads
1935,1935,1979,37,Don't Cry Out Loud,Melissa Manchester
1936,1936,1979,38,MacArthur Park,Donna Summer
1937,1937,1979,39,Home And Dry,Gerry Rafferty
1938,1938,1979,40,Got To Be Real,Cheryl Lynn
1939,1939,1979,41,Mary Jane,Rick James
1940,1940,1979,42,Love Don't Live Here Anymore,Rose Royce
1941,1941,1979,43,You Took The Words Right Out Of My Mouth,Meat Loaf
1942,1942,1979,44,One Last Kiss,The J. Geils Band
1943,1943,1979,45,Shattered,The Rolling Stones
1944,1944,1979,46,Baby I'm Burnin',Dolly Parton
1945,1945,1979,47,You Thrill Me,Exile
1946,1946,1979,48,The Dream Never Dies,Cooper Brothers
1947,1947,1979,49,You Need A Woman Tonight,Captain & Tennille
1948,1948,1979,50,Radioactive,Gene Simmons
1949,1949,1979,51,Strange Way,Firefall
1950,1950,1979,52,How Much I Feel,Ambrosia
1951,1951,1979,53,Dancin' Shoes,Nigel Olsson
1952,1952,1979,54,No Tell Lover,Chicago
1953,1953,1979,55,I Don't Wanna Lose You,Daryl Hall John Oates
1954,1954,1979,56,Straight On,Heart
1955,1955,1979,57,Shake Your Groove Thing,Peaches & Herb
1956,1956,1979,58,"Blue Morning, Blue Day",Foreigner
1957,1957,1979,59,Sweet Life,Paul Davis
1958,1958,1979,60,Lost In Your Love,John Paul Young
1959,1959,1979,61,I Will Survive,Gloria Gaynor
1960,1960,1979,62,Easy Driver,Kenny Loggins
1961,1961,1979,63,What You Won't Do For Love,Bobby Caldwell
1962,1962,1979,64,Part-Time Love,Elton John
1963,1963,1979,65,Double Vision,Foreigner
1964,1964,1979,66,Silver Lining,Player
1965,1965,1979,67,The Power Of Gold,Dan Fogelberg/Tim Weisberg
1966,1966,1979,68,Dancing In The City,Marshall Hain
1967,1967,1979,69,Dancin' Shoes,Faith Band
1968,1968,1979,70,The Football Card,Glenn Sutton
1969,1969,1979,71,"Hold Me, Touch Me",Paul Stanley
1970,1970,1979,72,You've Really Got A Hold On Me,Eddie Money
1971,1971,1979,73,You Can Do It,Dobie Gray
1972,1972,1979,74,This Moment In Time,Engelbert Humperdinck
1973,1973,1979,75,Sing For The Day,Styx
1974,1974,1979,76,Stormy,Santana
1975,1975,1979,77,Animal House,Stephen Bishop
1976,1976,1979,78,Moment By Moment,Yvonne Elliman
1977,1977,1979,79,Miles Away,Fotomaker
1978,1978,1979,80,Every Time I Think Of You,The Babys
1979,1979,1979,81,Free Me From My Freedom/Tie Me To A Tree (Handcuff Me),Bonnie Pointer
1980,1980,1979,82,A Little Lovin' (Keeps The Doctor Away),The Raes
