,Unnamed: 0,year,rank,song,artist
2660,2660,1986,62,He'll Never Love You (Like I Do),Freddie Jackson
2661,2661,1986,63,Somewhere,Barbra Streisand
2662,2662,1986,64,One Vision,Queen
2663,2663,1986,65,Sara,Starship
2664,2664,1986,66,Day By Day,Hooters
2665,2665,1986,67,Caravan Of Love,"Isley, Jasper, Isley"
2666,2666,1986,68,Love Theme From St. Elmo's Fire (Instrumental),David Foster
2667,2667,1986,69,Head Over Heels,Tears For Fears
2668,2668,1986,70,Can You Feel The Beat,Lisa Lisa And Clult Jam With Full Force
2669,2669,1986,71,Everyday,James Taylor
2670,2670,1986,72,Morning Desire,Kenny Rogers
2671,2671,1986,73,One Of The Living,Tina Turner
2672,2672,1986,74,Beat's So Lonely,Charlie Sexton
2673,2673,1986,75,Running Up That Hill,Kate Bush
2674,2674,1986,76,The Heart Is Not So Smart,El DeBarge With DeBarge
2675,2675,1986,77,Secret,Orchestral Manoeuvres In The Dark
2676,2676,1986,78,Own The Night,Chaka Khan
2677,2677,1986,79,Be Near Me,ABC
2678,2678,1986,80,Secret Lovers,Atlantic Starr
2679,2679,1986,81,I Knew The Bride (When She Use To Rock And Roll),Nick Lowe And His Cowboy Outfit
