,year,rank,song,artist
1475,1974,76,Boogie Down,Eddie Kendricks
1476,1974,77,I Shall Sing,Garfunkel
1477,1974,78,Ain't Got No Home,The Band
1478,1974,79,Blue Collar,Bachman-Turner Overdrive
1479,1974,80,Abra-Ca-Dabra,The De Franco Family
1480,1974,81,Somewhere Between Love And Tomorrow,Roy Clark
1481,1974,82,Wang Dang Doodle,The Pointer Sisters
1482,1974,83,Raised On Robbery,Joni Mitchell
1483,1974,84,"One Tin Soldier, The Legend of Billy Jack",Coven
1484,1974,85,Will You Love Me Tomorrow?,Melanie
1485,1974,86,You're So Unique,Billy Preston
1486,1974,87,My Sweet Lady,Cliff DeYoung
1487,1974,88,Trying To Hold On To My Woman,Lamont Dozier
1488,1974,89,Flashback,The 5th Dimension
1489,1974,90,Daddy What If,Bobby Bare
1490,1974,91,"It May Be Winter Outside, (But In My Heart It's Spring)",Love Unlimited
1491,1974,92,Star,Stealers Wheel
1492,1974,93,Last Kiss,J. Frank Wilson and The Cavaliers
1493,1974,94,Life Is A Song Worth Singing,Johnny Mathis
1494,1974,95,Can't Say Nothin',Curtis Mayfield
1495,1974,96,What It Comes Down To,The Isley Brothers
1496,1974,97,This Is Your Song,Don Goodwin
1497,1974,98,WOLD,Harry Chapin
1498,1974,99,Let Me Get To Know You,Paul Anka
1499,1974,100,Could You Ever Love Me Again,Gary & Dave
1500,1975,1,Lucy In The Sky With Diamonds,Elton John
1501,1975,2,"You're The First, The Last, My Everything",Barry White
1502,1975,3,Kung Fu Fighting,Carl Douglas
1503,1975,4,Junior's Farm/Sally G,Paul McCartney And Wings
1504,1975,5,Laughter In The Rain,Neil Sedaka
1505,1975,6,Angie Baby,Helen Reddy
1506,1975,7,Only You,Ringo Starr
1507,1975,8,Boogie On Reggae Woman,Stevie Wonder
1508,1975,9,Please Mr. Postman,Carpenters
1509,1975,10,Mandy,Barry Manilow
1510,1975,11,Cat's In The Cradle,Harry Chapin
1511,1975,12,Must Of Got Lost,The J. Geils Band
1512,1975,13,One Man Woman/One Woman Man,Paul Anka with Odia Coates
1513,1975,14,Bungle In The Jungle,Jethro Tull
1514,1975,15,Morning Side Of The Mountain,Donny & Marie Osmond
1515,1975,16,Dark Horse,George Harrison
1516,1975,17,When Will I See You Again,The Three Degrees
1517,1975,18,Never Can Say Goodbye,Gloria Gaynor
1518,1975,19,Sha-La-La (Make Me Happy),Al Green
1519,1975,20,Fire,Ohio Players
1520,1975,21,Doctor's Orders,Carol Douglas
1521,1975,22,Pick Up The Pieces,AWB
1522,1975,23,Some Kind Of Wonderful,Grand Funk
1523,1975,24,You Got The Love,Rufus Featuring Chaka Khan
1524,1975,25,Rock N' Roll (I Gave You The Best Years Of My Life),Mac Davis
1525,1975,26,Ride 'em Cowboy,Paul Davis
1526,1975,27,Get Dancin',Disco Tex & The Sex-O-Lettes Featuring Sir Monti Rock III
1527,1975,28,Dancin' Fool,The Guess Who
1528,1975,29,I Feel A Song (In My Heart)/Don't Burn Down The Bridge,Gladys Knight And The Pips
1529,1975,30,From His Woman To You,Barbara Mason
1530,1975,31,I Can Help,Billy Swan
1531,1975,32,Best Of My Love,Eagles
1532,1975,33,"Ruby, Baby","Billy ""Crash"" Craddock"
1533,1975,34,I Belong To You,Love Unlimited
1534,1975,35,Free Bird,Lynyrd Skynyrd
1535,1975,36,Do It ('til You're Satisfied),B.T. Express
1536,1975,37,You're No Good,Linda Ronstadt
1537,1975,38,Promised Land,Elvis Presley
1538,1975,39,The Entertainer,Billy Joel
1539,1975,40,Struttin',Billy Preston
1540,1975,41,Look In My Eyes Pretty Woman,Tony Orlando & Dawn
1541,1975,42,Ain't Too Proud To Beg,The Rolling Stones
1542,1975,43,Woman To Woman,Shirley Brown
1543,1975,44,Ready,Cat Stevens
1544,1975,45,Wishing You Were Here,Chicago
1545,1975,46,Black Water,The Doobie Brothers
1546,1975,47,#9 Dream,John Lennon
1547,1975,48,Changes,David Bowie
1548,1975,49,Funky President (People It's Bad)/Coldblooded,James Brown
1549,1975,50,Sugar Pie Guy Pt. 1,The Joneses
1550,1975,51,You Ain't Seen Nothing Yet/Free Wheelin',Bachman-Turner Overdrive
1551,1975,52,My Eyes Adored You,Frankie Valli
1552,1975,53,Without Love,Aretha Franklin
1553,1975,54,My Melody Of Love,Bobby Vinton
1554,1975,55,I've Got The Music In Me,The Kiki Dee Band
1555,1975,56,Fairytale,The Pointer Sisters
1556,1975,57,Sunshine Part II,The O'Jays
1557,1975,58,Your Bulldog Drinks Champagne,Jim Stafford
1558,1975,59,She's Gone,Tavares
1559,1975,60,"Baby, Hang Up The Phone",Carl Graves
1560,1975,61,Longfellow Serenade,Neil Diamond
1561,1975,62,Lady,Styx
1562,1975,63,Happy People,The Temptations
1563,1975,64,Sweet Surrender,John Denver
1564,1975,65,Can't Get It Out Of My Head,Electric Light Orchestra
1565,1975,66,Lonely People,America
1566,1975,67,Nightingale,Carole King
1567,1975,68,Philadelphia,B.B. King
1568,1975,69,"Whatever You Got, I Want",Jackson 5
1569,1975,70,Let's Straighten It Out,Latimore
1570,1975,71,One Tear,Eddie Kendricks
1571,1975,72,I Am I Am,Smokey Robinson
1572,1975,73,When A Child Is Born,Michael Holm
1573,1975,74,Big Yellow Taxi,Joni Mitchell
1574,1975,75,As Long As He Takes Care Of Home,Candi Staton
1575,1975,76,"Hoppy, Gene And Me",Roy Rogers
1576,1975,77,Day Tripper,Anne Murray
1577,1975,78,I'm A Woman,Maria Muldaur
1578,1975,79,Whatever Gets You Thru The Night,John Lennon With The Plastic Ono Nuclear Band
1579,1975,80,"Don't Call Us, We'll Call You",Sugarloaf/Jerry Corbetta
1580,1975,81,Back Home Again,John Denver
1581,1975,82,Don't Cha Love It,The Miracles
1582,1975,83,Midnight Sky (Part 1),The Isley Brothers
1583,1975,84,To The Door Of The Sun (Alle Porte Del Sole),Al Martino
1584,1975,85,Costafine Town,Splinter
1585,1975,86,I Feel Sanctified,Commodores
1586,1975,87,Gee Baby,Peter Shelley
1587,1975,88,Rhyme Tyme People,Kool & The Gang
1588,1975,89,Heartbreak Road,Bill Withers
1589,1975,90,Don't Take Your Love,The Manhattans
1590,1975,91,Words (are Impossible),Margie Joseph
1591,1975,92,Love Don't You Go Through No Changes On Me,Sister Sledge
1592,1975,93,I Wouldn't Treat A Dog (The Way You Treated Me),Bobby Bland
1593,1975,94,"What A Man, My Man Is",Lynn Anderson
1594,1975,95,Poetry Man,Phoebe Snow
1595,1975,96,Let Me Start Tonite,Lamont Dozier
1596,1975,97,Ms. Grace,The Tymes
1597,1975,98,Lady Marmalade,Labelle
1598,1975,99,Up In A Puff Of Smoke,Polly Brown
1599,1975,100,Crazy Talk,Chilliwack
1600,1976,1,Saturday Night,Bay City Rollers
1601,1976,2,I Write The Songs,Barry Manilow
1602,1976,3,Theme From Mahogany (Do You Know Where You're Going To),Diana Ross
1603,1976,4,Love Rollercoaster,Ohio Players
1604,1976,5,Let's Do It Again,The Staple Singers
1605,1976,6,Convoy,C.W. McCall
1606,1976,7,Fox On The Run,Sweet
1607,1976,8,That's The Way (I Like It),KC And The Sunshine Band
1608,1976,9,I Love Music (Part 1),The O'Jays
1609,1976,10,"Fly, Robin, Fly",Silver Convention
1610,1976,11,Love To Love You Baby,Donna Summer
1611,1976,12,Times Of Your Life,Paul Anka
1612,1976,13,Walk Away From Love,David Ruffin
1613,1976,14,Country Boy (You Got Your Feet In L.A.),Glen Campbell
1614,1976,15,Sing A Song,"Earth, Wind & Fire"
1615,1976,16,You Sexy Thing,Hot Chocolate
1616,1976,17,Rock And Roll All Nite (live),KISS
1617,1976,18,Fly Away,John Denver
1618,1976,19,Sky High,Jigsaw
1619,1976,20,Evil Woman,Electric Light Orchestra
1620,1976,21,Nights On Broadway,Bee Gees
1621,1976,22,Love Machine (Part 1),The Miracles
1622,1976,23,Over My Head,Fleetwood Mac
1623,1976,24,For The Love Of You (Part 1&2),The Isley Brothers
1624,1976,25,Love Hurts,Nazareth
1625,1976,26,Winners And Losers,"Hamilton, Joe Frank & Reynolds"
1626,1976,27,Wake Up Everybody (Part 1),Harold Melvin And The Blue Notes
1627,1976,28,Breaking Up Is Hard To Do,Neil Sedaka
1628,1976,29,Baby Face,The Wing And A Prayer Fife & Drum Corps.
1629,1976,30,Somewhere In The Night,Helen Reddy
1630,1976,31,Part Time Love,Gladys Knight And The Pips
1631,1976,32,Island Girl,Elton John
1632,1976,33,School Boy Crush,AWB
1633,1976,34,50 Ways To Leave Your Lover,Paul Simon
1634,1976,35,Hurricane (Part 1),Bob Dylan
1635,1976,36,Let It Shine/He Ain't Heavy...He's My Brother,Olivia Newton-John
1636,1976,37,Let's Live Together,The Road Apples
1637,1976,38,Full Of Fire,Al Green
1638,1976,39,The Way I Want To Touch You,Captain & Tennille
1639,1976,40,Squeeze Box,The Who
1640,1976,41,Paloma Blanca,George Baker Selection
1641,1976,42,Our Day Will Come,Frankie Valli
1642,1976,43,Down To The Line,Bachman-Turner Overdrive
1643,1976,44,Golden Years,David Bowie
1644,1976,45,My Little Town,Simon & Garfunkel
1645,1976,46,Woman Tonight,America
1646,1976,47,Fire On The Mountain,The Marshall Tucker Band
1647,1976,48,This Old Man,Purple Reign
1648,1976,49,Volare,Al Martino
1649,1976,50,Slow Ride,Foghat
1650,1976,51,Play On Love,Jefferson Starship
1651,1976,52,Free Ride,Tavares
1652,1976,53,Theme From S.W.A.T.,Rhythm Heritage
1653,1976,54,The Last Game Of The Season (A Blind Man In The Bleachers),David Geddes
1654,1976,55,Take It To The Limit,Eagles
1655,1976,56,All By Myself,Eric Carmen
1656,1976,57,Deep Purple,Donny & Marie Osmond
1657,1976,58,Christmas For Cowboys,John Denver
1658,1976,59,Inseparable,Natalie Cole
1659,1976,60,Let The Music Play,Barry White
1660,1976,61,Tracks Of My Tears,Linda Ronstadt
1661,1976,62,Easy As Pie,"Billy ""Crash"" Craddock"
1662,1976,63,Fanny (Be Tender With My Love),Bee Gees
1663,1976,64,Feelings,Morris Albert
1664,1976,65,Going Down Slowly,The Pointer Sisters
1665,1976,66,Love Or Leave,The Spinners
1666,1976,67,The Blind Man In The Bleachers,Kenny Starr
1667,1976,68,The Homecoming,Hagood Hardy
1668,1976,69,For A Dancer,Prelude
1669,1976,70,Yesterday's Hero,John Paul Young
1670,1976,71,Break Away,Art Garfunkel
1671,1976,72,Sweet Love,Commodores
1672,1976,73,Back To The Island,Leon Russell
1673,1976,74,"December, 1963 (Oh, What a Night)",The 4 Seasons
1674,1976,75,"Soul Train ""75""",Soul Train Gang
1675,1976,76,I Cheat The Hangman,The Doobie Brothers
1676,1976,77,The White Knight,Cledus Maggard And The Citizen's Band
1677,1976,78,Don't Cry Joni,Conway Twitty with Joni Lee
1678,1976,79,Love Is The Drug,Roxy Music
1679,1976,80,Lady Bump,Penny Mclean
1680,1976,81,Bohemian Rhapsody,Queen
1681,1976,82,Sweet Thing,Rufus Featuring Chaka Khan
1682,1976,83,Art For Art's Sake,10cc
1683,1976,84,That's Why I Love You,Andrew Gold
1684,1976,85,Only Sixteen,Dr. Hook
1685,1976,86,Amazing Grace (used To Be Her Favorite Song),Amazing Rhythm Aces
1686,1976,87,Chain Gang Medley,Jim Croce
1687,1976,88,Funky Weekend,The Stylistics
1688,1976,89,Every Beat Of My Heart,Crown Heights Affair
1689,1976,90,Hollywood Hot,The Eleventh Hour
1690,1976,91,The Zip,MFSB
1691,1976,92,Happy,Eddie Kendricks
1692,1976,93,Make Love To Your Mind,Bill Withers
1693,1976,94,Breakfast For Two,Country Joe McDonald
1694,1976,95,I Believe In Father Christmas,Greg Lake
1695,1976,96,Blue Guitar,Justin Hayward & John Lodge
1696,1976,97,Who Loves You,The 4 Seasons
1697,1976,98,Dream Weaver,Gary Wright
1698,1976,99,Valentine Love,Norman Connors
1699,1976,100,Daydreamer,C.C. & Company
1700,1977,1,Tonight's The Night (Gonna Be Alright),Rod Stewart
1701,1977,2,You Don't Have To Be A Star (To Be In My Show),"Marilyn McCoo & Billy Davis, Jr."
1702,1977,3,The Rubberband Man,The Spinners
1703,1977,4,You Make Me Feel Like Dancing,Leo Sayer
1704,1977,5,More Than A Feeling,Boston
1705,1977,6,Sorry Seems To Be The Hardest Word,Elton John
1706,1977,7,I Wish,Stevie Wonder
1707,1977,8,Dazz,Brick
1708,1977,9,Car Wash,Rose Royce
1709,1977,10,After The Lovin',Engelbert Humperdinck
1710,1977,11,Stand Tall,Burton Cummings
1711,1977,12,Hot Line,The Sylvers
1712,1977,13,I Never Cry,Alice Cooper
1713,1977,14,Love Me,Yvonne Elliman
1714,1977,15,Livin' Thing,Electric Light Orchestra
1715,1977,16,Muskrat Love,Captain & Tennille
1716,1977,17,Nadia's Theme (The Young And The Restless),Barry DeVorzon And Perry Botikin Jr.
1717,1977,18,Nights Are Forever Without You,England Dan & John Ford Coley
1718,1977,20,New Kid In Town,Eagles
1719,1977,21,Enjoy Yourself,The Jacksons
1720,1977,22,Lost Without Your Love,Bread
1721,1977,23,You Are The Woman,Firefall
1722,1977,24,Jeans On,David Dundas
1723,1977,25,Shake Your Rump To The Funk,The Bar-Kays
1724,1977,26,Saturday Nite,"Earth, Wind & Fire"
1725,1977,27,This Song,George Harrison
1726,1977,28,Walk This Way,Aerosmith
1727,1977,29,Torn Between Two Lovers,Mary Macgregor
1728,1977,30,I Like Dreamin',Kenny Nolan
1729,1977,31,Love So Right,Bee Gees
1730,1977,32,Blinded By The Light,Manfred Mann's Earth Band
1731,1977,33,Whispering/Cherchez La Femme/Se Si Bon,Dr. Buzzard's Original Savannah Band
1732,1977,34,Love Ballad,L.T.D.
1733,1977,35,Weekend In New England,Barry Manilow
1734,1977,36,Mademoiselle,Styx
1735,1977,37,Ain't Nothing Like The Real Thing,Donny & Marie Osmond
1736,1977,38,Keep Me Cryin',Al Green
1737,1977,39,"Do What You Want, Be What You Are",Daryl Hall John Oates
1738,1977,40,Drivin' Wheel,Foghat
1739,1977,41,Beth/Detroit Rock City,KISS
1740,1977,42,What Can I Say,Boz Scaggs
1741,1977,43,Free Bird,Lynyrd Skynyrd
1742,1977,44,Flight '76,The Walter Murphy Band
1743,1977,45,Hello Old Friend,Eric Clapton
1744,1977,46,Someone To Lay Down Beside Me,Linda Ronstadt
1745,1977,47,I Like To Do It,KC And The Sunshine Band
1746,1977,48,Disco Duck (Part I),Rick Dees & His Cast Of Idiots
1747,1977,49,It Keeps You Runnin',The Doobie Brothers
1748,1977,50,Do It To My Mind,Johnny Bristol
1749,1977,51,"Evergreen (Love Theme From ""A Star Is Born"")",Barbra Streisand
1750,1977,52,Fly Like An Eagle,Steve Miller
1751,1977,53,Living Next Door To Alice,Smokie
1752,1977,54,"9,999,999 Tears",Dickey Lee
1753,1977,55,If Not You,Dr. Hook
1754,1977,56,Yesterday's Hero,Bay City Rollers
1755,1977,57,Just To Be Close To You,Commodores
1756,1977,58,Don't Take Away The Music,Tavares
1757,1977,59,Night Moves,Bob Seger & The Silver Bullet Band
1758,1977,60,You've Got Me Runnin',Gene Cotton
1759,1977,61,Baby Boy,Mary Kay Place As Loretta Haggers
1760,1977,62,Hard Luck Woman,KISS
1761,1977,63,Slow Dancing,Funky Kings
1762,1977,64,St. Charles,Jefferson Starship
1763,1977,65,"Man Smart, Woman Smarter",Robert Palmer
1764,1977,66,Dancing Queen,ABBA
1765,1977,67,Save It For A Rainy Day,Stephen Bishop
1766,1977,68,The Wreck Of The Edmund Fitzgerald,Gordon Lightfoot
1767,1977,69,Do You Feel Like We Do,Peter Frampton
1768,1977,70,Spring Affair/Winter Melody,Donna Summer
1769,1977,71,"Ob-la-di, Ob-la-da",The Beatles
1770,1977,72,Dreamboat Annie,Heart
1771,1977,73,Lucky Man,Starbuck
1772,1977,74,Free,Deniece Williams
1773,1977,75,Don't Leave Me This Way,Thelma Houston
1774,1977,76,Happier,Paul Anka
1775,1977,77,Open Sesame - Part 1,Kool & The Gang
1776,1977,78,Every Face Tells A Story,Olivia Newton-John
1777,1977,79,"Baby, You Look Good To Me Tonight",John Denver
1778,1977,80,I Can't Ask For Anymore Than You,Cliff Richard
1779,1977,81,If You Leave Me Now,Chicago
1780,1977,82,Moody Blue/she Thinks I Still Care,Elvis Presley
1781,1977,83,Caledonia,Robin Trower
1782,1977,84,Year Of The Cat,Al Stewart
1783,1977,85,You're My Driving Wheel,The Supremes
1784,1977,86,Heart On My Sleeve,Bryan Ferry
1785,1977,87,Carry On Wayward Son,Kansas
1786,1977,88,When Love Is New,Arthur Prysock
1787,1977,89,C.b. Savage,Rod Hart
1788,1977,90,Ha Cha Cha (funktion),Brass Construction
1789,1977,91,White Bird,David Laflamme
1790,1977,92,It's A Long Way There,Little River Band
1791,1977,93,Prisoner (Captured By Your Eyes),L.A. Jets
1792,1977,94,Love Bug,Bumble Bee Unlimited
1793,1977,95,Feelings,Walter Jackson
1794,1977,96,Hey Baby,J.J. Cale
1795,1977,97,Spend Some Time,Elvin Bishop Featuring Mickey Thomas
1796,1977,98,(She's Just A) Fallen Angel,Starz
1797,1977,99,"Baby, I'll Give It To You",Seals & Crofts
1798,1977,100,The Best Disco In Town,The Ritchie Family
1799,1978,1,How Deep Is Your Love,Bee Gees
1800,1978,2,Baby Come Back,Player
1801,1978,3,Blue Bayou,Linda Ronstadt
1802,1978,4,(Every Time I Turn Around) Back In Love Again,LTD
1803,1978,5,Here You Come Again,Dolly Parton
1804,1978,6,You Light Up My Life,Debby Boone
1805,1978,7,Slip Slidin' Away,Paul Simon
1806,1978,8,Sentimental Lady,Bob Welch
1807,1978,9,You're In My Heart (The Final Acclaim),Rod Stewart
1808,1978,10,Hey Deanie,Shaun Cassidy
1809,1978,11,Come Sail Away,Styx
1810,1978,12,You Can't Turn Me Off (In The Middle Of Turning Me On),High Inergy
1811,1978,13,We Are The Champions,Queen
1812,1978,14,Runaround Sue,Leif Garrett
1813,1978,15,It's So Easy,Linda Ronstadt
1814,1978,16,Don't It Make My Brown Eyes Blue,Crystal Gayle
1815,1978,17,Short People,Randy Newman
1816,1978,18,Just The Way You Are,Billy Joel
1817,1978,19,Serpentine Fire,"Earth, Wind & Fire"
1818,1978,20,Turn To Stone,Electric Light Orchestra
1819,1978,21,I Go Crazy,Paul Davis
1820,1978,22,My Way,Elvis Presley
1821,1978,23,(Love Is) Thicker Than Water,Andy Gibb
1822,1978,24,The Way I Feel Tonight,Bay City Rollers
1823,1978,25,Sometimes When We Touch,Dan Hill
1824,1978,26,"Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)",Chic
1825,1978,27,Gettin' Ready For Love,Diana Ross
1826,1978,28,Stayin' Alive,Bee Gees
1827,1978,29,Desiree,Neil Diamond
1828,1978,30,Point Of Know Return,Kansas
1829,1978,31,Don't Let Me Be Misunderstood,Santa Esmeralda Starring Leroy Gomez
1830,1978,32,Isn't It Time,The Babys
1831,1978,33,Native New Yorker,Odyssey
1832,1978,34,Girls' School,Wings
1833,1978,35,We're All Alone,Rita Coolidge
1834,1978,36,Swingtown,The Steve Miller Band
1835,1978,37,Emotion,Samantha Sang
1836,1978,38,What's Your Name,Lynyrd Skynyrd
1837,1978,39,(You're My) Soul And Inspiration,Donny & Marie Osmond
1838,1978,40,Peg,Steely Dan
1839,1978,41,Bloat On Featuring the Bloaters,Cheech & Chong
1840,1978,42,As,Stevie Wonder
1841,1978,43,Tried To Love,Peter Frampton
1842,1978,44,If You're Not Back In Love By Monday,Millie Jackson
1843,1978,45,Lovely Day,Bill Withers
1844,1978,46,How Can I Leave You Again,John Denver
1845,1978,47,"Long, Long Way From Home",Foreigner
1846,1978,48,Wrap Your Arms Around Me,KC And The Sunshine Band
1847,1978,49,Too Hot Ta Trot,Commodores
1848,1978,50,Ffun,ConFunkShun
1849,1978,51,You Make Loving Fun,Fleetwood Mac
1850,1978,52,The Next Hundred Years,Al Martino
1851,1978,53,Street Corner Serenade,Wet Willie
1852,1978,54,"Baby, What A Big Surprise",Chicago
1853,1978,55,Easy To Love,Leo Sayer
1854,1978,56,Heaven On The 7th Floor,Paul Nicholas
1855,1978,57,Breakdown,Tom Petty And The Heartbreakers
1856,1978,58,Your Smiling Face,James Taylor
1857,1978,59,Boogie Nights,Heatwave
1858,1978,60,Falling,LeBlanc & Carr
1859,1978,61,Theme From Close Encounters,Meco
1860,1978,62,Sweet Music Man,Kenny Rogers
1861,1978,63,I Love You,Donna Summer
1862,1978,64,Happy Anniversary,Little River Band
1863,1978,65,You Make Me Crazy,Sammy Hagar
1864,1978,66,Thunder Island,Jay Ferguson
1865,1978,67,The Name Of The Game,ABBA
1866,1978,68,Mind Bender,Stillwater
1867,1978,69,God Only Knows,Marilyn Scott
1868,1978,70,Rockaway Beach,Ramones
1869,1978,71,"Theme From ""Close Encounters Of The Third Kind""",John Williams
1870,1978,72,Any Way You Want Me,The Sylvers
1871,1978,73,"Curious Mind (Um, Um, Um, Um, Um, Um)",Johnny Rivers
1872,1978,74,Was Dog A Doughnut,Cat Stevens
1873,1978,75,Lay Down Sally,Eric Clapton
1874,1978,76,Don't Ask My Neighbors,The Emotions
1875,1978,77,It's Ecstasy When You Lay Down Next To Me,Barry White
1876,1978,78,Always And Forever,Heatwave
1877,1978,79,Galaxy,War
1878,1978,80,Ooh Boy,Rose Royce
1879,1978,81,"If It Don't Fit, Don't Force It",Kellee Patterson
1880,1978,82,Crazy On You,Heart
1881,1978,83,Cocomotion,El Coco
1882,1978,84,Le Spank,Le Pamplemousse
1883,1978,85,What A Difference You've Made In My Life,Ronnie Milsap
1884,1978,86,Goodbye Girl,David Gates
1885,1978,87,Reach For It,George Duke
1886,1978,88,Boats Against The Current,Eric Carmen
1887,1978,89,The Loneliest Man On The Moon,David Castle
1888,1978,90,Take Me To The Kaptin,Prism
1889,1978,91,Until Now,Bobby Arvon
1890,1978,92,Don't Let It Show,The Alan Parsons Project
1891,1978,93,She's Not There,Santana
1892,1978,94,Come Go With Me,Pockets
1893,1978,95,Calling Occupants Of Interplanetary Craft,Carpenters
1894,1978,96,We Just Disagree,Dave Mason
1895,1978,97,Send In The Clowns,Judy Collins
1896,1978,98,Belle,Al Green
1897,1978,99,Nobody Does It Better,Carly Simon
1898,1978,100,I Feel Love,Donna Summer
1899,1979,1,Too Much Heaven,Bee Gees
1900,1979,2,Le Freak,Chic
1901,1979,3,My Life,Billy Joel
1902,1979,4,You Don't Bring Me Flowers,Barbra Streisand & Neil Diamond
1903,1979,5,I Love The Nightlife (Disco 'round),Alicia Bridges
1904,1979,6,Sharing The Night Together,Dr. Hook
1905,1979,7,Y.M.C.A.,Village People
1906,1979,8,Hold The Line,Toto
1907,1979,9,(Our Love) Don't Throw It All Away,Andy Gibb
1908,1979,10,Ooh Baby Baby,Linda Ronstadt
1909,1979,11,Promises,Eric Clapton And His Band
1910,1979,12,How You Gonna See Me Now,Alice Cooper
1911,1979,13,A Little More Love,Olivia Newton-John
1912,1979,14,We've Got Tonight,Bob Seger & The Silver Bullet Band
1913,1979,15,September,"Earth, Wind & Fire"
1914,1979,16,Every 1's A Winner,Hot Chocolate
1915,1979,17,Lotta Love,Nicolette Larson
1916,1979,18,Please Come Home For Christmas,Eagles
1917,1979,19,New York Groove,Ace Frehley
1918,1979,20,Fire,The Pointer Sisters
1919,1979,21,I'm Every Woman,Chaka Khan
1920,1979,22,Shake It,Ian Matthews
1921,1979,23,I Just Wanna Stop,Gino Vannelli
1922,1979,24,I Was Made For Dancin',Leif Garrett
1923,1979,25,Bicycle Race/Fat Bottomed Girls,Queen
1924,1979,26,Time Passages,Al Stewart
1925,1979,27,Da Ya Think I'm Sexy?,Rod Stewart
1926,1979,28,Don't Hold Back,Chanson
1927,1979,29,Instant Replay,Dan Hartman
1928,1979,30,I Will Be In Love With You,Livingston Taylor
1929,1979,31,Somewhere In The Night,Barry Manilow
1930,1979,32,Soul Man,Blues Brothers
1931,1979,33,A Man I'll Never Be,Boston
1932,1979,34,The Gambler,Kenny Rogers
1933,1979,35,My Best Friend's Girl,The Cars
1934,1979,36,Take Me To The River,Talking Heads
1935,1979,37,Don't Cry Out Loud,Melissa Manchester
1936,1979,38,MacArthur Park,Donna Summer
1937,1979,39,Home And Dry,Gerry Rafferty
1938,1979,40,Got To Be Real,Cheryl Lynn
1939,1979,41,Mary Jane,Rick James
1940,1979,42,Love Don't Live Here Anymore,Rose Royce
1941,1979,43,You Took The Words Right Out Of My Mouth,Meat Loaf
1942,1979,44,One Last Kiss,The J. Geils Band
1943,1979,45,Shattered,The Rolling Stones
1944,1979,46,Baby I'm Burnin',Dolly Parton
1945,1979,47,You Thrill Me,Exile
1946,1979,48,The Dream Never Dies,Cooper Brothers
1947,1979,49,You Need A Woman Tonight,Captain & Tennille
1948,1979,50,Radioactive,Gene Simmons
1949,1979,51,Strange Way,Firefall
1950,1979,52,How Much I Feel,Ambrosia
1951,1979,53,Dancin' Shoes,Nigel Olsson
1952,1979,54,No Tell Lover,Chicago
1953,1979,55,I Don't Wanna Lose You,Daryl Hall John Oates
1954,1979,56,Straight On,Heart
1955,1979,57,Shake Your Groove Thing,Peaches & Herb
1956,1979,58,"Blue Morning, Blue Day",Foreigner
1957,1979,59,Sweet Life,Paul Davis
1958,1979,60,Lost In Your Love,John Paul Young
1959,1979,61,I Will Survive,Gloria Gaynor
1960,1979,62,Easy Driver,Kenny Loggins
1961,1979,63,What You Won't Do For Love,Bobby Caldwell
1962,1979,64,Part-Time Love,Elton John
1963,1979,65,Double Vision,Foreigner
1964,1979,66,Silver Lining,Player
1965,1979,67,The Power Of Gold,Dan Fogelberg/Tim Weisberg
1966,1979,68,Dancing In The City,Marshall Hain
1967,1979,69,Dancin' Shoes,Faith Band
1968,1979,70,The Football Card,Glenn Sutton
1969,1979,71,"Hold Me, Touch Me",Paul Stanley
1970,1979,72,You've Really Got A Hold On Me,Eddie Money
1971,1979,73,You Can Do It,Dobie Gray
1972,1979,74,This Moment In Time,Engelbert Humperdinck
1973,1979,75,Sing For The Day,Styx
1974,1979,76,Stormy,Santana
1975,1979,77,Animal House,Stephen Bishop
1976,1979,78,Moment By Moment,Yvonne Elliman
1977,1979,79,Miles Away,Fotomaker
1978,1979,80,Every Time I Think Of You,The Babys
1979,1979,81,Free Me From My Freedom/Tie Me To A Tree (Handcuff Me),Bonnie Pointer
1980,1979,82,A Little Lovin' (Keeps The Doctor Away),The Raes
1981,1979,83,Who Do Ya Love,KC And The Sunshine Band
1982,1979,84,Haven't Stopped Dancing Yet,Gonzalez
1983,1979,85,Get Down,Gene Chandler
1984,1979,86,I Don't Know If It's Right,"Evelyn ""Champagne"" King"
1985,1979,87,Need You Bad,Ted Nugent
1986,1979,88,Lady,Little River Band
1987,1979,89,Ain't That Enough For You,John Davis And The Monster Orchestra
1988,1979,90,Mary's Boy Child / Oh My Lord,Boney M.
1989,1979,91,I'm Gonna Make You Love Me,The Blend
1990,1979,92,In The Bush,Musique
1991,1979,93,Your Sweetness Is My Weakness,Barry White
1992,1979,94,Alive Again,Chicago
1993,1979,95,I Believe You,Carpenters
1994,1979,96,You Needed Me,Anne Murray
1995,1979,97,Hot Child In The City,Nick Gilder
1996,1979,98,Mañana,Jimmy Buffett
1997,1979,99,Light The Sky On Fire,Jefferson Starship
1998,1979,100,Got To Have Loving,Don Ray
1999,1980,1,Please Don't Go,KC And The Sunshine Band
2000,1980,2,Escape (The Pina Colada Song),Rupert Holmes
2001,1980,3,Rock With You,Michael Jackson
2002,1980,4,Send One Your Love,Stevie Wonder
2003,1980,5,Do That To Me One More Time,Captain & Tennille
2004,1980,6,Babe,Styx
2005,1980,7,Still,Commodores
2006,1980,8,Coward Of The County,Kenny Rogers
2007,1980,9,Ladies Night,Kool & The Gang
2008,1980,10,We Don't Talk Anymore,Cliff Richard
