,Unnamed: 0,Unnamed: 0.1,year,rank,song,artist,gender,nltk_positive,nltk_negative,nltk_score,nltk_top_emotion,Gender,genres
0,5820,5820,2018,22,I Get The Bag,Gucci Mane Featuring Migos,,0.098,0.122,-0.9882,trust,,"['atl hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
1,5821,5821,2018,23,Feel It Still,Portugal. The Man,,0.19,0.093,0.9931,fear,,"['indie rock', 'modern alternative rock', 'modern rock', 'rock']"
2,5822,5822,2018,24,Him & I,G-Eazy & Halsey,,0.143,0.176,-0.9752,sadness,,"['hip hop', 'indie pop rap', 'oakland hip hop', 'pop', 'pop rap', 'rap']"
3,5823,5823,2018,25,Believer,Imagine Dragons,,0.056,0.167,-0.9939,trust,Male,"['modern rock', 'pop', 'rock']"
4,5824,5824,2018,26,Meant To Be,Bebe Rexha & Florida Georgia Line,,0.047,0.054,-0.433,anticipation,,"['dance pop', 'electropop', 'pop', 'post-teen pop']"
5,5825,5825,2018,27,How Long,Charlie Puth,,0.127,0.03,0.9913,anticipation,Male,"['dance pop', 'pop', 'viral pop']"
6,5826,5826,2018,28,Bank Account,21 Savage,,0.206,0.164,0.8506,trust,Male,"['atl hip hop', 'rap', 'trap']"
7,5827,5827,2018,29,Wolves,Selena Gomez X Marshmello,,0.103,0.137,-0.9655,surprise,,"['detroit hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
8,5828,5828,2018,30,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,,0.036,0.031,0.6776,joy,,"['latin', 'latin pop', 'puerto rican pop']"
9,5829,5829,2018,31,Plain Jane,A$AP Ferg Featuring Nicki Minaj,,0.048,0.156,-0.9941,fear,,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']"
10,5830,5830,2018,32,Mi Gente,J Balvin & Willy William Featuring Beyonce,,0.1,0.05,0.9386,anticipation,,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']"
11,5831,5831,2018,33,The Weekend,SZA,,0.157,0.076,0.9811,anger,Female,"['pop', 'r&b', 'rap']"
12,5832,5832,2018,34,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,,0.117,0.194,-0.9941,sadness,,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']"
13,5833,5833,2018,35,The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,,0.087,0.156,-0.9945,trust,,"['melodic rap', 'philly rap', 'rap', 'trap']"
14,5834,5834,2018,36,Rockin' Around The Christmas Tree,Brenda Lee,,0.254,0.014,0.9868,anticipation,Female,"['adult standards', 'brill building pop', 'vocal jazz']"
15,5835,5835,2018,37,That's What I Like,Bruno Mars,,0.233,0.041,0.9984,joy,Male,"['dance pop', 'pop']"
16,5836,5836,2018,38,It's The Most Wonderful Time Of The Year,Andy Williams,,0.29,0.043,0.9964,anticipation,Male,"['adult standards', 'brill building pop', 'easy listening']"
17,5837,5837,2018,39,Attention,Charlie Puth,,0.093,0.058,0.8693,anticipation,Male,"['dance pop', 'pop', 'viral pop']"
18,5838,5838,2018,40,End Game,Taylor Swift Featuring Ed Sheeran & Future,,0.101,0.094,0.8376,sadness,,['pop']
19,5839,5839,2018,41,Sky Walker,Miguel Featuring Travis Scott,,0.271,0.082,0.9991,joy,,"['dance pop', 'pop', 'r&b', 'urban contemporary']"
